Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Acrobat.exe Block		All	Yes	Block	No	C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AcroCEF.exe Block		All	Yes	Block	No	C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef\AcroCEF.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AcroCEF_1.exe Block		All	Yes	Block	No	C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AdobeARM adobe-block		All	Yes	Block	No	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AdobeARMHelper adobe-block		All	Yes	Block	No	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARMHelper.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
armsvc adobe-block		All	Yes	Block	No	C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
EA app (EABackgroundService) (Outbound)		All	Yes	Allow	No	C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EABackgroundService.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
EA app (EAConnect_microsoft) (Outbound)		All	Yes	Allow	No	C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EAConnect_microsoft.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
EA app (EADesktop) (Outbound)		All	Yes	Allow	No	C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EADesktop.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
EA app (EAGEP) (Outbound)		All	Yes	Allow	No	C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EAGEP.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
EA app (EALaunchHelper) (Outbound)		All	Yes	Allow	No	C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EALaunchHelper.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
